ImageNumber,Nucleus,Centriole1,Centriole2,Cilia,Nuc_Cent1,Nuc_Cent2,Nuc_Cil,Cent1_Cil,Cent2_Cil,Cent1_Cent2
4,59,21,,,1.554513032844148,,,,,
4,65,23,25,24,7.0158911333529925,10.758479940974585,28.43918693273527,21.631877519068954,39.18419607298092,17.724173667055123
4,66,24,,,3.988078636109258,,,,,
4,68,26,,,2.127732625648489,,,,,
4,73,27,,30,6.763034458653677,,46.765164244243174,52.20132788041539,,
4,76,28,,,6.259260852588321,,,,,
4,80,29,,,2.013997346384216,,,,,
4,85,30,,,1.9815516991885516,,,,,
4,92,33,,,15.653225012983512,,,,,
4,93,34,,,9.906732919103673,,,,,
4,94,31,,,6.746804130324661,,,,,
4,96,32,,,0.6375180664127934,,,,,
4,100,35,,35,2.7681648146357882,,18.577999440715455,20.878236506173025,,
4,101,36,,,4.19078289305294,,,,,
4,102,37,,,2.3536970931021597,,,,,
4,110,40,,,2.156237263224543,,,,,
4,6,,,1,,,18.445380339552845,,,
4,7,,,2,,,16.26156466983258,,,
4,8,,,3,,,24.297527507651786,,,
4,18,,,4,,,64.33510021902745,,,
4,19,,,5,,,85.40580483463482,,,
4,13,,,6,,,8.714252968808903,,,
4,12,,,7,,,15.503078376256852,,,
4,17,,,8,,,15.094808932651722,,,
4,15,,,9,,,33.159899395917215,,,
4,27,,,10,,,16.656903075639622,,,
4,30,,,11,,,23.02338984303956,,,
4,32,,,13,,,32.08802994774403,,,
4,45,,,14,,,82.02989833550735,,,
4,39,,,15,,,26.538348386870737,,,
4,38,,,16,,,16.78833755274916,,,
4,43,,,17,,,60.744862859453896,,,
4,44,,,18,,,29.70313299235781,,,
4,46,,,19,,,21.211640530083848,,,
4,51,,,20,,,33.069259239181726,,,
